"bezeichnung","lon","lat","Total","VeloInAvrg","VeloOutAvrg","VeloInTotal","VeloOutTotal"
"Binzmühlestrasse",8.5232863887,47.4136413252,25732,2.6320534742732287,2.722796517954266,92225,95404
"Bucheggplatz",8.5334521513,47.3989104954,6816,3.802523474178398,2.2282863849765207,133237,78077
"Kloster-Fahr-Weg",8.4855719536,47.4021427627,35039,2.967379206027568,2.639858443448732,103974,92498
"Lux-Guyer-Weg",8.5369540662,47.3849977821,28892,7.083898657067662,4.660355807836017,248213,163294
"Militärbrücke",8.534073322,47.3750135218,34943,5.967661620353071,3.521306127121303,209101,123383
"Mythenquai",8.5356169115,47.3586546756,28879,10.01353924997399,5.874822535406289,350864,205848
"Zollstrasse",8.5370156548,47.3796360809,18908,6.012428601650069,8.348159509202375,210669,292511
"Tödistrasse",8.5358446109,47.3645713252,35039,1.3188447158880041,1.2825137703701501,46211,44938
"Talstrasse",8.5343198515,47.3715480383,25052,2.4733753792112183,4.136316461759502,86665,144932
"Schulstrasse",8.543725882,47.410083515,25732,1.6651639981345967,1.427483289289582,58346,50018
"Binzmühlestrasse",8.5232863887,47.4136413252,25732,2.6320534742732287,2.722796517954266,92225,95404
"Andreasstrasse",8.559332129,47.4130814486,4176,15.222461685823705,13.414511494252835,533380,470031
"Schulstrasse",8.543725882,47.410083515,3696,12.995941558441537,10.409902597402542,455365,364753
"Hofwiesenstrasse",8.5339697736,47.4007514851,9888,7.179611650485419,4.273563915857603,251566,149741
"Binzmühlestrasse",8.5232863887,47.4136413252,6433,3.367791077257891,2.0618684905953653,118004,72246
"Andreasstrasse",8.559332129,47.4130814486,2688,0.8039434523809523,0.820312500000002,28169,28743
"Sihlpromenade",8.5292398846,47.369185446,28412,10.260312543995393,12.535513163451876,359511,439232
"Bertastrasse",8.516258218,47.3754330454,28604,7.172178716263335,7.494476297021323,251306,262599
"Fischerweg",8.4845774247,47.4000739176,34559,3.7194363262825907,3.293237651552408,130325,115392
"Scheuchzerstrasse",8.5453772247,47.3824347007,1440,11.627083333333324,9.264583333333334,407401,324622
"Saumackerstrasse",8.4894293153,47.3901623396,29375,1.221106382978715,1.8764595744680648,42786,65749
"Langstrasse (Unterführung Süd)",8.5292976942,47.3817186625,35039,25.304318045606593,7.869088729701217,886638,275725
"Schulstrasse",8.5437347523,47.4100862156,25732,1.6651639981345967,1.427483289289582,58346,50018
"Langstrasse (Unterführung Nord)",8.5281894104,47.3806192097,19293,13.113668169802384,25.3130150831908,459490,886943
"Bucheggplatz",8.5334511915,47.3989111433,19012,15.015674310961366,3.6837786661055523,526134,129076
"Mühlebachstrasse",8.5507393116,47.364581774,35039,7.460629584177578,7.620879591312477,261413,267028
"Bucheggplatz",8.5334521513,47.3989104954,19012,15.015674310961366,3.6837786661055523,526134,129076
"Tödistrasse",8.5358446109,47.3645713252,35039,1.3188447158880041,1.2825137703701501,46211,44938
"Langstrasse (Unterführung Nord)",8.5281914723,47.3806145084,5088,25.84492924528299,10.583333333333286,905580,370829
"Langstrasse (Unterführung Süd)",8.5292976942,47.3817186625,35039,25.304318045606593,7.869088729701217,886638,275725
"Binzmühlestrasse",8.5232863887,47.4136413252,25732,2.6320534742732287,2.722796517954266,92225,95404
"Langstrasse (Unterführung Süd)",8.5284252406,47.3804936476,35039,25.304318045606593,7.869088729701217,886638,275725
"Binzmühlestrasse",8.5232962669,47.4136386063,25732,2.6320534742732287,2.722796517954266,92225,95404
"Andreasstrasse",8.5593270747,47.4130760286,7874,2.923418846837701,2.779019558039104,102434,97374
"Hardbrücke Nord (Seite Altstetten)",8.5155597572,47.3837992638,35039,2.035874311481495,6.962670167527599,71335,243965
"Hardbrücke Süd (Seite HB)",8.5158156507,47.3836302816,35039,15.779417220811128,9.063415051799437,552895,317573
"Langstrasse (Unterführung Süd)",8.5292976942,47.3817186625,35039,25.304318045606593,7.869088729701217,886638,275725
"Lux-Guyer-Weg",8.5369540662,47.3849977821,6433,3.367791077257891,2.0618684905953653,118004,72246
"Scheuchzerstrasse",8.5453772247,47.3824347007,3696,12.995941558441537,10.409902597402542,455365,364753
"Mythenquai",8.5356169115,47.3586546756,4176,15.222461685823705,13.414511494252835,533380,470031
"Bertastrasse",8.516258218,47.3754330454,19012,15.015674310961366,3.6837786661055523,526134,129076
"Sihlpromenade",8.5292398846,47.369185446,9888,7.179611650485419,4.273563915857603,251566,149741
"Talstrasse",8.5343335928,47.3715482431,2592,2.217592592592591,1.282407407407409,77702,44934
"Bertastrasse",8.516258218,47.3754330454,28604,7.172178716263335,7.494476297021323,251306,262599
"Sihlpromenade",8.5292398846,47.369185446,28412,10.260312543995393,12.535513163451876,359511,439232
"Scheuchzerstrasse",8.5453772247,47.3824347007,1440,11.627083333333324,9.264583333333334,407401,324622
"Lux-Guyer-Weg",8.5369540662,47.3849977821,28892,7.083898657067662,4.660355807836017,248213,163294
"Mythenquai",8.5356169115,47.3586546756,28879,10.01353924997399,5.874822535406289,350864,205848
"Zollstrasse",8.5370007271,47.3796380058,15459,10.121547318713985,13.985833495051423,354649,490050
